StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent_attn-commit,sensecntrl_time_First Click,sensecntrl_time_Last Click,sensecntrl_time_Page Submit,sensecntrl_time_Click Count,sensecntrl_01,sensecntrl_02,sensecntrl_03,sensecntrl_04,sensecntrl_05,sensecntrl_06,sensecntrl_07,sensecntrl_08,sensecntrl_09,sensecntrl_10,sensecntrl_attn,sensecntrl_11,sensecntrl_12,cognition_time_First Click,cognition_time_Last Click,cognition_time_Page Submit,cognition_time_Click Count,cognition_01,cognition_02,cognition_03,cognition_04,cognition_05,cognition_06,cognition_07,cognition_08,cognition_09,cognition_10,cognition_11,cognition_12,cognition_13,cognition_14,cognition_15,cognition_16,cognition_17,cognition_18,launay_time_First Click,launay_time_Last Click,launay_time_Page Submit,launay_time_Click Count,launay01,launay02,launay03,launay04,launay05,launay07,visq_time_First Click,visq_time_Last Click,visq_time_Page Submit,visq_time_Click Count,visq_01,visq_02,visq_03,visq_04,visq_05,visq_06,visq_07,visq_08,visq_09,visq_10,visq_11,visq_12,visq_13,visq_14,visq_15,visq_16,visq_17,visq_18,visq_19,visq_20,visq_21,visq_22,visq_23,visq_24,visq_25,visq_26,absorb_time_First Click,absorb_time_Last Click,absorb_time_Page Submit,absorb_time_Click Count,absorb_01,absorb_02,absorb_03,absorb_04,absorb_05,absorb_06,absorb_07,absorb_08,absorb_09,absorb_10,absorb_attn,absorb_11,absorb_12,absorb_13,absorb_14,absorb_15,absorb_16,absorb_17,absorb_18,absorb_19,absorb_20,absorb_21,absorb_22,absorb_23,absorb_24,absorb_25,absorb_26,absorb_27,absorb_28,absorb_29,absorb_30,absorb_31,absorb_32,absorb_33,absorb_34,voice_time_First Click,voice_time_Last Click,voice_time_Page Submit,voice_time_Click Count,voice_xs,voice_spev_voiceears,voice_spev_voicemind,voice_spev_thoughtmi,voice_pl1,voice_pl2,voice_pl3,voice_pl4a,voice_pl4b,voice_pl5,voice_pl7,voice_pl8,voice_pl9,voice_pl10,voice_pl11,voice_pl12,voice_pl13,voice_pl14,voice_inoe30,voice_inoe05,porosity_time_First Click,porosity_time_Last Click,porosity_time_Page Submit,porosity_time_Click Count,porosity_01,porosity_02,porosity_03,porosity_fuques_03_1,porosity_fuques_03_2,porosity_fuques_03_3,porosity_04,porosity_fuques_04_1,porosity_fuques_04_2,porosity_fuques_04_3,porosity_05,porosity_06,porosity_fuques_06_1,porosity_fuques_06_2,porosity_fuques_06_3,porosity_07,porosity_fuques_07_1,porosity_fuques_07_2,porosity_fuques_07_3,porosity_08,porosity_09,porosity_attn,porosity_10,porosity_fuques_10_1,porosity_fuques_10_2,porosity_fuques_10_3,porosity_11,porosity_12,porosity_fuques_12_1,porosity_fuques_12_2,porosity_fuques_12_3,porosity_13,porosity_14,demo_part1_time_First Click,demo_part1_time_Last Click,demo_part1_time_Page Submit,demo_part1_time_Click Count,demo_part1_gender,demo_part1_gender_3_TEXT,demo_part1_race,demo_part1_race_11_TEXT,demo_part1_age,demo_part1_education,demo_part1_education_8_TEXT,demo_part1_country,demo_part1_country_2_TEXT,demo_part1_zipcode,demo_moneyleftover,demo_part1_subjSES,demo_part2_time_First Click,demo_part2_time_Last Click,demo_part2_time_Page Submit,demo_part2_time_Click Count,demo_part2_religion,demo_part2_religion_16_TEXT,demo_part2_religion_25_TEXT,demo_part2_religion_33_TEXT,demo_part3_time_First Click,demo_part3_time_Last Click,demo_part3_time_Page Submit,demo_part3_time_Click Count,demo_religserv-PEW,demo_religimp-PEW,demo_part3_pray-PEW,demo_godcommunicate,demo_part3_tongues,demo_spiritfilled,demo_part3_giftshs,demo_part3_free,final_time_First Click,final_time_Last Click,final_time_Page Submit,final_time_Click Count,final_attn-free,final_attn-commit,SC0,time_estimate,compensation,confirmation_code
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"We care deeply about the quality of our data for this study. For us to get the most accurate sense of your opinions and experiences, it is important that you provide thoughtful answers to each question in the survey.

Do you commit to providing thoughtful answers to the questions in this survey?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,I can do just about anything I really set my mind to.,"When I really want to do something, I usually find a way to succeed at it.",Whether or not I am able to get what I want is in my own hands.,"What happens to me in the future mostly
depends on me.","There is little I can do to change many of the important
things in my life.","I often feel helpless in dealing with the problems of
life.",Other people determine most of what I can and cannot do.,What happens in my life is often beyond my control.,"There are many things that interfere with what I want to
do.",I have little control over the things that happen to me.,Please select 'strongly agree' to show that you are human and that you are paying attention.,There is really no way I can solve the problems I have.,I sometimes feel I am being pushed around in my life.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,I prefer complex to simple problems.,I like to have the responsibility of handling a situation that requires a lot of thinking.,Thinking is not my idea of fun.,I would rather do something that requires little thought than something that is sure to challenge my thinking abilities.,I try to anticipate and avoid situations where there is a likely chance I will have to think in depth about something.,I find satisfaction in deliberating hard and for long hours.,I only think as hard as I have to.,I prefer to think about small daily projects to long term ones.,I like tasks that require little thought once I’ve learned them.,The idea of relying on thought to make my way to the top appeals to me.,I really enjoy a task that involves coming up with new solutions to problems.,Learning new ways to think doesn’t excite me very much.,I prefer my life to be filled with puzzles I must solve.,The notion of thinking abstractly is appealing to me.,"I would prefer a task that is intellectual, difficult, and important to one that is somewhat important but does not require much thought.",I feel relief rather than satisfaction after completing a task that requires a lot of mental effort.,It’s enough for me that something gets the job done; I don’t care how or why it works.,I usually end up deliberating about issues even when they do not affect me personally.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,I hear a voice speaking my thoughts aloud.,I hear the telephone ring and find that I am mistaken.,I hear people call my name and find that nobody has done so.,I can hear music when it is not being played.,"I have had the experience of hearing a person’s voice and then found
that there was no one there.",I see shadows and shapes when there is nothing there.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,I think to myself in words using brief phrases and single words rather than full sentences.,"When I am talking to myself about things in my mind, it is like I am going back and forward asking myself questions and then answering them.","I hear the voice of another person in my head. For example, when I act in a certain way I hear my mother’s voice in my mind.",I experience the voices of other people asking me questions in my head.,I hear other people’s voices nagging me in my head.,"My thinking in words is more like a dialogue with myself, rather than my own thoughts in a monologue.",I think to myself in words using full sentences.,"My thinking to myself in words is like shorthand notes, rather than full, proper, grammatical English.","I think in inner speech about what I have done, and whether it was right or not.","When I am talking to myself about things in my mind, it is like I am having a conversation with myself.",I talk silently in my head telling myself to do things.,"I hear other people’s actual voices in my head, saying things that they have never said to me before.",I talk back and forward to myself in my mind about things.,"My thinking in words is shortened compared to my normal out-loud speech. For example, rather than saying to myself things like ‘I need to go to the shops’, I will just say ‘shops’ to myself in my head.","If I were to write down my thoughts on paper, they would read like a normal grammatical sentence.","I hear other people’s actual voices in my head, saying things that they actually once said to me.",I talk silently in my inner speech telling myself not to do things.,"I evaluate my behavior using my inner speech. For example I say to myself, ‘‘that was good’’ or ‘‘that was stupid’’.",I talk to myself silently in an encouraging way.,In my head I talk to myself a critical way.,"My thinking in words is like a speech or a monologue, rather than a conversation.",I calm myself down by talking silently to myself.,What I say in my inner speech makes me feel anxious.,My inner speech contributes to me feeling down and depressed.,"When angry, my inner speech can help calm me down.","When I think to myself in words about upsetting things, I can easily change topics in my mind and talk to myself about other things.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Sometimes I feel and experience things as I did as a child.,I can be greatly moved by eloquent or poetic language.,"While watching a movie, a TV show, or a play, I may become so involved that I may forget about myself and my surroundings and experience the story as if it were real and as if I were taking part in it.","If I stare at a picture and then look away from it, I can sometimes ""see"" an image of the picture almost as if I were still looking at it.",Sometimes I feel as if my mind could envelop the whole world.,I like to watch cloud shapes change in the sky.,If I wish I can imagine (or daydream) some things so vividly that they hold my attention as a good movie or story does.,I think I really know what some people mean when they talk about mystical experiences.,"I sometimes step ""outside"" my usual self and experience an entirely different state of being.","Textures—such as wool, sand, wood—sometimes remind me of colors or music.","If you are human and are paying attention, please select 'True.'",Sometimes I experience things as if they were doubly real.,When I listen to music I can get so caught up in it that I don't notice anything else.,If I wish I can imagine that my body is so heavy I could not move it if I wanted to.,I can often somehow sense the presence of another person before I actually see or hear her/him.,The crackle and flames of a wood fire stimulate my imagination.,It is sometimes possible for me to become completely immersed in nature or art and to feel as if my whole state of consciousness has somehow been temporarily altered.,Different colors have distinctive different meanings for me.,I am able to wander off into my thoughts while doing a routine task and then find a few minutes later that I have completed it.,I can sometimes recollect certain past experiences in my life with such clarity and vividness that it is like living them again or almost so.,Things that seem meaningless to others often make sense to me.,"While acting in a play I think I could really feel the emotions of the character and ""become"" her/him for the time being, forgetting both myself and the audience.",My thoughts often don't occur as words but as visual images.,I often take delight in small things (like the five-pointed star shape that appears when you cut an apple across the core or the colors in soap bubbles).,When listening to organ music or other powerful music I sometimes feel as if I am being lifted into the air.,Sometimes I can change noise into music by the way I listen to it.,Some of my most vivid memories are called up by scents and smells.,Some music reminds me of pictures or changing color patterns.,I often know what someone is going to say before he or she says it.,"I often have ""physical memories"": for example, after I have been swimming I may still feel as if I am in the water.",The sound of a voice can be so fascinating to me that I can just go on listening to it.,At times I somehow feel the presence of someone who is not physically there.,Sometimes thoughts and images come to me without the slightest effort on my part.,I find that different odors have different colors.,I can be deeply moved by a sunset.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Have you ever heard an audible voice when you were alone, or a voice that no one else present could hear, like someone calling your name?",Have you ever heard God or a spirit speak to you in a voice you felt you heard outside your head?,Have you heard God or a spirit speak to you in a voice that you felt you experienced inside your head?,Have you felt that God or a spirit placed thoughts inside your head?,"""Sometimes I have thought I heard people say my name...Like in a store when you walk past some people you don’t know...But I know they didn’t really say my name so I just go on.""

Has something like this ever happened to you?","""Sometimes when I am just about to fall asleep, I hear my name as if spoken aloud.""

Has something like this ever happened to you?","""When I wake up in the morning...But stay in bed for a few minutes, sometimes I hear my mother’s voice...When she’s not there. Like now when I’m living in the dorm. What I hear is her voice saying stuff like, ‘Now come on and get up’ or ‘Don’t be late for school.’ I’m used to it and it doesn’t bother me.""

Has something like this ever happened to you?","""I hear a voice that is hard to understand...Can't really tell what it says...Sometimes just as I go to sleep.""

Has something like this ever happened to you?",Have you had any experience with hearing something just when going to sleep or waking up?,"""When I was little, I had an imaginary playmate. I remember that I really thought I heard her voice when we talked. That went away...Hearing her voice…but for a while it was just like a real voice.""

Has something like this ever happened to you?","""Sometimes when I’m in the house all alone, I hear a voice call my name...No, it really isn’t scary. It was at first, but not now...It’s just once...Like ‘Sally’...Kind of quick and like somebody’s calling me. I guess I kind of know that it isn’t really somebody and it’s really me...But it does sound like a real voice.""

Has something like this ever happened to you?","""Last summer I was hanging up clothes in the backyard. Suddenly I heard my husband call my name from inside the house. He sounded like something was wrong and was loud and clear. I ran in...But he was out in the garage and he hadn’t called at all. Obviously I guess I made it up...But it sounded like a real voice and it was my husband’s.""

Has something like this ever happened to you?","""I've heard the phone ring or buzz when it didn't.""

Has something like this ever happened to you?","""I hear my thoughts aloud.""

Has something like this ever happened to you?","""I have heard God's voice...Not that he made me know in my heart, but as a real voice.""

Has something like this ever happened to you?","""When I am driving in my car...Particularly when I’m tired or worried...I hear my own voice from the backseat. It’s behind me over my right shoulder. I know it’s really coming from my head, but it sounds like it’s little short statements...Usually soothing...Like ‘It’ll be alright’ or ‘Now, just calm down.'""

Has something like this ever happened to you?","""I drive a lot at night. My job has a lot of travel to it. Sometimes late at night, when I’m tired, I hear sounds in the backseat like people talking…But I can’t tell what they say…just a word here and there. When this first started happening...When I first started driving at night so much...Four or five years ago…it scared the hell out of me. But now I’m used to it. I think I do it because I’m tired and by myself.""

Has something like this ever happened to you?","""Almost every morning while I do my housework, I have a pleasant conversation with my dead grandmother. I talk to her and quite regularly hear her voice actually out loud.""

Has something like this ever happened to you?","I have heard noises, voices, or music for which there seemed to be no apparent cause.","I have had thoughts, insights, or emotional states that seemed as if they didn’t originate within myself.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Evil
thoughts can go out into the world like Wi-Fi or a radio and cause bad things to
happen to other people.","If someone wishes in their mind that their friend finds a job (even without speaking the wish or praying to God), the spiritual effects of that wish can help their friend find a new job.","Spirits can
use thoughts and feelings to hurt people.","Spirits can
use thoughts and feelings to hurt people. - Have you heard of this happening to people you know?","Spirits can
use thoughts and feelings to hurt people. - Do you regularly worry that this will happen to you?","Spirits can
use thoughts and feelings to hurt people. - Do you do anything to protect yourself against this?","When people
get angry, sometimes evil spirits take advantage and control the actions of the
angry person.","When people get angry, sometimes evil spirits take advantage and control the actions of the angry person. - Have you heard of this happening to people you know?","When people get angry, sometimes evil spirits take advantage and control the actions of the angry person. - Do you regularly worry that this will happen to you?","When people get angry, sometimes evil spirits take advantage and control the actions of the angry person. - Do you do anything to protect yourself against this?","Envious
thoughts and feelings come from evil spirits.","Spirits can
read our thoughts and act on them even if we don’t speak them out loud.","Spirits can
read our thoughts and act on them even if we don’t speak them out loud. - Have you heard of this happening to people you know?","Spirits can
read our thoughts and act on them even if we don’t speak them out loud. - Do you regularly worry that this will happen to you?","Spirits can
read our thoughts and act on them even if we don’t speak them out loud. - Do you do anything to protect yourself against this?","There are
certain people (witches/wizards) who can hurt people or poison food with their
stare.",There are certain people (witches/wizards) who can hurt people or poison food with their stare. - Have you heard of this happening to people you know?,There are certain people (witches/wizards) who can hurt people or poison food with their stare. - Do you regularly worry that this will happen to you?,There are certain people (witches/wizards) who can hurt people or poison food with their stare. - Do you do anything to protect yourself against this?,"A simple
prayer to God in your mind can cause you to win the lottery, or cure a person
from AIDS.","If you pray
hard enough in your mind to God, you can bring back the dead.","To demonstrate that you are human and are paying attention, please select 'it definitely happens.'","Spirits
hear spoken curses and carry out their instructions.","Spirits
hear spoken curses and carry out their instructions. - Have you heard of this happening to people you know?","Spirits
hear spoken curses and carry out their instructions. - Do you regularly worry that this will happen to you?","Spirits
hear spoken curses and carry out their instructions. - Do you do anything to protect yourself against this?","Spirits can
put thoughts in our minds.","Some people use special powers to put thoughts in other people’s minds and make them do something, like fall in love.","Some people
use special powers to put thoughts in other people’s minds and make them do
something, like fall in love. - Have you heard of this happening to people you know?","Some people
use special powers to put thoughts in other people’s minds and make them do
something, like fall in love. - Do you regularly worry that this will happen to you?","Some people
use special powers to put thoughts in other people’s minds and make them do
something, like fall in love. - Do you do anything to protect yourself against this?","If someone
is sick and you can’t call or visit them, thinking good thoughts can still help
them get better.","Some people
can visualize a symbol and the visualization can change the world directly.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What is your gender? - Selected Choice,What is your gender? - Something else (Please feel free to say more below.) - Text,"What is your race/ethnicity? 
(Please select all that apply.) - Selected Choice","What is your race/ethnicity? 
(Please select all that apply.) - Some other race or ethnicity (Please feel free to say more below.) - Text",How old are you (in years)?,What is your highest level of formal education? - Selected Choice,What is your highest level of formal education? - Something else (Please feel free to say more below.) - Text,Where were you born? - Selected Choice,Where were you born? - Some other country (Please type in the country below.) - Text,"What zip code do you currently live in? 
(Please type ""NA"" if you prefer not to answer.)","Generally, at the end of each month, how much money do you end up with?","Think of this ladder as representing where people stand in the United States. At the top of the ladder are the people who are the best off – those who have the most money, the most education, and the most respected jobs. At the bottom are the people who are the worst off – those who have the least money, least education, the least respected jobs, or no job. The higher up you are on this ladder, the closer you are to the people at the very top; the lower you are, the closer you are to the people at the very bottom.







Where would you place yourself on this ladder? 

Please choose the number next to the rung where you think you stand at this time in your life relative to other people in the United States.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"What is your religion? 
(Please select all that apply, and feel free to say more in the next question.) - Selected Choice","What is your religion? 
(Please select all that apply, and feel free to say more in the next question.) - Some other kind of Christianity (Please describe below.) - Text","What is your religion? 
(Please select all that apply, and feel free to say more in the next question.) - Some other world religion (Please describe below.) - Text","What is your religion? 
(Please select all that apply, and feel free to say more in the next question.) - Something else (Please describe below.) - Text",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Aside from weddings and funerals, how often do you attend religious services?",How important is religion in your life?,"Outside of attending religious services, how often do you pray?","Do you agree with the following statement?

""People in my church often experience God and communicate with God.""","Do you agree with the following statement?

""People in my church speak in tongues.""","Do you agree with the following statement?

""My church is a spirit-filled church.""","Do you agree with the following statement?

""People in my church seek and desire the gifts of the Holy Spirit.""","Is there anything else we should know about you and your background?

(This question is optional.)",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"What did you do in this study? Please write a brief sentence describing what you just did (for example, ""I wrote an essay about what it was like to learn to play the violin."") Please be specific, so that we know you were paying attention and understood the instructions.","In general, did you provide thoughtful answers to the questions in this survey?

Please answer this question honestly – your answer will not affect your compensation.",Score,time_estimate,compensation,confirmation_code
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID492""}","{""ImportId"":""QID607_FIRST_CLICK""}","{""ImportId"":""QID607_LAST_CLICK""}","{""ImportId"":""QID607_PAGE_SUBMIT""}","{""ImportId"":""QID607_CLICK_COUNT""}","{""ImportId"":""QID609""}","{""ImportId"":""QID610""}","{""ImportId"":""QID611""}","{""ImportId"":""QID612""}","{""ImportId"":""QID613""}","{""ImportId"":""QID614""}","{""ImportId"":""QID615""}","{""ImportId"":""QID616""}","{""ImportId"":""QID617""}","{""ImportId"":""QID618""}","{""ImportId"":""QID619""}","{""ImportId"":""QID620""}","{""ImportId"":""QID621""}","{""ImportId"":""QID622_FIRST_CLICK""}","{""ImportId"":""QID622_LAST_CLICK""}","{""ImportId"":""QID622_PAGE_SUBMIT""}","{""ImportId"":""QID622_CLICK_COUNT""}","{""ImportId"":""QID624""}","{""ImportId"":""QID625""}","{""ImportId"":""QID626""}","{""ImportId"":""QID627""}","{""ImportId"":""QID628""}","{""ImportId"":""QID629""}","{""ImportId"":""QID630""}","{""ImportId"":""QID631""}","{""ImportId"":""QID632""}","{""ImportId"":""QID633""}","{""ImportId"":""QID634""}","{""ImportId"":""QID635""}","{""ImportId"":""QID636""}","{""ImportId"":""QID637""}","{""ImportId"":""QID638""}","{""ImportId"":""QID639""}","{""ImportId"":""QID640""}","{""ImportId"":""QID641""}","{""ImportId"":""QID530_FIRST_CLICK""}","{""ImportId"":""QID530_LAST_CLICK""}","{""ImportId"":""QID530_PAGE_SUBMIT""}","{""ImportId"":""QID530_CLICK_COUNT""}","{""ImportId"":""QID249""}","{""ImportId"":""QID250""}","{""ImportId"":""QID251""}","{""ImportId"":""QID252""}","{""ImportId"":""QID253""}","{""ImportId"":""QID255""}","{""ImportId"":""QID534_FIRST_CLICK""}","{""ImportId"":""QID534_LAST_CLICK""}","{""ImportId"":""QID534_PAGE_SUBMIT""}","{""ImportId"":""QID534_CLICK_COUNT""}","{""ImportId"":""QID60""}","{""ImportId"":""QID547""}","{""ImportId"":""QID548""}","{""ImportId"":""QID549""}","{""ImportId"":""QID550""}","{""ImportId"":""QID551""}","{""ImportId"":""QID552""}","{""ImportId"":""QID553""}","{""ImportId"":""QID554""}","{""ImportId"":""QID555""}","{""ImportId"":""QID556""}","{""ImportId"":""QID557""}","{""ImportId"":""QID558""}","{""ImportId"":""QID559""}","{""ImportId"":""QID560""}","{""ImportId"":""QID561""}","{""ImportId"":""QID562""}","{""ImportId"":""QID563""}","{""ImportId"":""QID642""}","{""ImportId"":""QID643""}","{""ImportId"":""QID644""}","{""ImportId"":""QID645""}","{""ImportId"":""QID646""}","{""ImportId"":""QID647""}","{""ImportId"":""QID648""}","{""ImportId"":""QID649""}","{""ImportId"":""QID536_FIRST_CLICK""}","{""ImportId"":""QID536_LAST_CLICK""}","{""ImportId"":""QID536_PAGE_SUBMIT""}","{""ImportId"":""QID536_CLICK_COUNT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID525""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID716_FIRST_CLICK""}","{""ImportId"":""QID716_LAST_CLICK""}","{""ImportId"":""QID716_PAGE_SUBMIT""}","{""ImportId"":""QID716_CLICK_COUNT""}","{""ImportId"":""QID753""}","{""ImportId"":""QID754""}","{""ImportId"":""QID755""}","{""ImportId"":""QID756""}","{""ImportId"":""QID757""}","{""ImportId"":""QID758""}","{""ImportId"":""QID759""}","{""ImportId"":""QID760""}","{""ImportId"":""QID761""}","{""ImportId"":""QID762""}","{""ImportId"":""QID763""}","{""ImportId"":""QID764""}","{""ImportId"":""QID765""}","{""ImportId"":""QID766""}","{""ImportId"":""QID767""}","{""ImportId"":""QID768""}","{""ImportId"":""QID769""}","{""ImportId"":""QID770""}","{""ImportId"":""QID771""}","{""ImportId"":""QID772""}","{""ImportId"":""QID773_FIRST_CLICK""}","{""ImportId"":""QID773_LAST_CLICK""}","{""ImportId"":""QID773_PAGE_SUBMIT""}","{""ImportId"":""QID773_CLICK_COUNT""}","{""ImportId"":""QID775""}","{""ImportId"":""QID776""}","{""ImportId"":""QID777""}","{""ImportId"":""QID778_1""}","{""ImportId"":""QID778_2""}","{""ImportId"":""QID778_3""}","{""ImportId"":""QID779""}","{""ImportId"":""QID780_1""}","{""ImportId"":""QID780_2""}","{""ImportId"":""QID780_3""}","{""ImportId"":""QID781""}","{""ImportId"":""QID782""}","{""ImportId"":""QID783_1""}","{""ImportId"":""QID783_2""}","{""ImportId"":""QID783_3""}","{""ImportId"":""QID784""}","{""ImportId"":""QID785_1""}","{""ImportId"":""QID785_2""}","{""ImportId"":""QID785_3""}","{""ImportId"":""QID786""}","{""ImportId"":""QID787""}","{""ImportId"":""QID788""}","{""ImportId"":""QID789""}","{""ImportId"":""QID790_1""}","{""ImportId"":""QID790_2""}","{""ImportId"":""QID790_3""}","{""ImportId"":""QID791""}","{""ImportId"":""QID792""}","{""ImportId"":""QID793_1""}","{""ImportId"":""QID793_2""}","{""ImportId"":""QID793_3""}","{""ImportId"":""QID794""}","{""ImportId"":""QID795""}","{""ImportId"":""QID538_FIRST_CLICK""}","{""ImportId"":""QID538_LAST_CLICK""}","{""ImportId"":""QID538_PAGE_SUBMIT""}","{""ImportId"":""QID538_CLICK_COUNT""}","{""ImportId"":""QID467""}","{""ImportId"":""QID467_3_TEXT""}","{""ImportId"":""QID469""}","{""ImportId"":""QID469_11_TEXT""}","{""ImportId"":""QID164""}","{""ImportId"":""QID468""}","{""ImportId"":""QID468_8_TEXT""}","{""ImportId"":""QID470""}","{""ImportId"":""QID470_2_TEXT""}","{""ImportId"":""QID471_TEXT""}","{""ImportId"":""QID474""}","{""ImportId"":""QID473""}","{""ImportId"":""QID545_FIRST_CLICK""}","{""ImportId"":""QID545_LAST_CLICK""}","{""ImportId"":""QID545_PAGE_SUBMIT""}","{""ImportId"":""QID545_CLICK_COUNT""}","{""ImportId"":""QID475""}","{""ImportId"":""QID475_16_TEXT""}","{""ImportId"":""QID475_25_TEXT""}","{""ImportId"":""QID475_33_TEXT""}","{""ImportId"":""QID539_FIRST_CLICK""}","{""ImportId"":""QID539_LAST_CLICK""}","{""ImportId"":""QID539_PAGE_SUBMIT""}","{""ImportId"":""QID539_CLICK_COUNT""}","{""ImportId"":""QID485""}","{""ImportId"":""QID486""}","{""ImportId"":""QID487""}","{""ImportId"":""QID168""}","{""ImportId"":""QID482""}","{""ImportId"":""QID483""}","{""ImportId"":""QID484""}","{""ImportId"":""QID524_TEXT""}","{""ImportId"":""QID540_FIRST_CLICK""}","{""ImportId"":""QID540_LAST_CLICK""}","{""ImportId"":""QID540_PAGE_SUBMIT""}","{""ImportId"":""QID540_CLICK_COUNT""}","{""ImportId"":""QID465_TEXT""}","{""ImportId"":""QID526""}","{""ImportId"":""SC_9n6GjOiBZEP00lM""}","{""ImportId"":""time_estimate""}","{""ImportId"":""compensation""}","{""ImportId"":""confirmation_code""}"
12/12/24 10:53,12/12/24 11:01,IP Address,100,497,TRUE,12/12/24 11:01,R_625eRoTb8yc4ApB,anonymous,EN,"Yes, I will",4.432,40.875,42.39,13,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,3.17,55.938,56.966,22,Somewhat like me,Extremely like me,Extremely not like me,Extremely not like me,Extremely like me,Extremely like me,Extremely not like me,Extremely not like me,Extremely not like me,Somewhat like me,Extremely like me,Extremely not like me,Extremely like me,Extremely like me,Extremely like me,Extremely like me,Extremely not like me,Extremely not like me,3.633,12.365,13.76,6,Never,Never,Never,Never,Never,Never,6.552,88.63,90.364,32,Sometimes,Very often,Often,Very often,Sometimes,All the time,Sometimes,Never,All the time,All the time,Often,Very often,All the time,Very often,All the time,All the time,Never,All the time,All the time,All the time,Never,Very often,Very often,Rarely,Very often,All the time,3.395,87.795,88.546,40,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1.847,61.796,63.986,23,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Once,Never,Never,Never,Never,Never,Never,Never,5.446,60.936,62.108,34,It might happen,It does not happen,It does not happen,no,no,no,It does not happen,no,no,no,It does not happen,It does not happen,no,no,no,It does not happen,no,no,no,It does not happen,It does not happen,It definitely happens,It does not happen,no,no,no,It does not happen,It does not happen,no,no,no,It does not happen,It does not happen,1.11,21.104,22.455,9,Woman,,"White,Some other race or ethnicity (Please feel free to say more below.)",La Vista,22,Some graduate school,,Some other country (Please type in the country below.),United States,68128,"Almost enough to pay your family’s regular expenses (for example, electricity, rent, heat, water, telephone, etc.)",4,14.211,14.211,16.724,1,Agnostic,,,,2.821,7.327,9.19,5,Never,Not at all important,Never,,,,,,1.992,11.296,13.476,2,Thoughts of other wordly views,"Yes, in general I provided thoughtful answers",10,20 minutes,$4.50 ,4148370
